Participant,Trial,Group,Block,Correct,CorrectKey,Response,RT,DotDifference,DotNumberRight,DotNumberLeft,Confidence,IJT,Experiment,RestTime,ValidChoice,ValidTrials,ChosenDots,UnchosenDots,AbsDiff,zRT,zConf,zDiff,zAbsDiff,zChosenDots,zUnchosenDots,LogRT,zLogRT
1,1.0,Monolingual,1.0,1.0,right,right,1101.30704947,6.0,56.0,50.0,0.64,953.0,2,,True,0.0,56.0,50.0,6.0,0.826170687354,0.719881410091,-0.187225560028,-0.187225560028,0.943447334361,0.3282486356,7.00425298019,0.866209847421
1,2.0,Monolingual,1.0,1.0,right,right,1217.84731349,6.0,50.0,44.0,0.64,1020.0,2,,True,1.0,50.0,44.0,6.0,1.40881439244,0.719881410091,-0.187225560028,-0.187225560028,-0.352293050866,-1.1658486023,7.10484008203,1.3367032524
1,3.0,Monolingual,1.0,0.0,right,left,917.755673328,5.0,55.0,50.0,0.38,720.0,2,,True,2.0,50.0,55.0,5.0,-0.0914954494863,-0.785378337736,-0.847442008548,-0.847442008548,-0.352293050866,1.57332966719,6.82193120414,0.0134047496017
1,4.0,Monolingual,1.0,0.0,right,left,1184.51003605,6.0,56.0,50.0,0.68,1403.0,2,,True,3.0,50.0,56.0,6.0,1.24214448648,0.951459832834,-0.187225560028,-0.187225560028,-0.352293050866,1.8223458735,7.07708449638,1.20687726317
1,5.0,Monolingual,1.0,1.0,right,right,1318.20475841,7.0,50.0,43.0,0.44,586.0,2,,True,4.0,50.0,43.0,7.0,1.91055200247,-0.438010703622,0.472990888492,0.472990888492,-0.352293050866,-1.41486480862,7.18402605839,1.70709348102
1,6.0,Monolingual,1.0,1.0,right,right,951.127361108,7.0,57.0,50.0,0.44,769.0,2,,True,5.0,57.0,50.0,7.0,0.0753464911659,-0.438010703622,0.472990888492,0.472990888492,1.15940406523,0.3282486356,6.85764797693,0.180468972947
1,7.0,Monolingual,1.0,0.0,right,left,917.291133785,6.0,56.0,50.0,0.62,803.0,2,,True,6.0,50.0,56.0,6.0,-0.0938179175429,0.60409219872,-0.187225560028,-0.187225560028,-0.352293050866,1.8223458735,6.82142490691,0.0110365582443
1,8.0,Monolingual,1.0,0.0,left,right,650.806016858,7.0,50.0,57.0,0.58,953.0,2,,True,7.0,50.0,57.0,7.0,-1.42611175764,0.372513775977,0.472990888492,0.472990888492,-0.352293050866,2.07136207982,6.47821162063,-1.59433415782
1,9.0,Monolingual,1.0,1.0,left,left,1034.29593735,8.0,42.0,50.0,0.42,786.0,2,,True,8.0,50.0,42.0,8.0,0.491148255613,-0.553799914993,1.13320733701,1.13320733701,-0.352293050866,-1.66388101494,6.94147622045,0.572573278662
1,10.0,Monolingual,1.0,1.0,right,right,1067.92298605,8.0,58.0,50.0,0.6,819.0,2,,True,9.0,58.0,50.0,8.0,0.65926687462,0.488302987349,1.13320733701,1.13320733701,1.3753607961,0.3282486356,6.97347090648,0.722227543425
1,11.0,Monolingual,1.0,1.0,left,left,1101.29739043,7.0,50.0,57.0,0.42,753.0,2,,True,10.0,57.0,50.0,7.0,0.826122396929,-0.553799914993,0.472990888492,0.472990888492,1.15940406523,0.3282486356,7.00424420963,0.866168823355
1,,Monolingual,1.0,,left,,,7.0,43.0,50.0,,,2,,False,11.0,,,7.0,,,0.472990888492,0.472990888492,,,,
