Participant,Group,Trial,Block,BlockPresentation,Correct,RT,DotDifference,DotNumberRight,DotNumberLeft,Confidence,ConfidenceRT,TimeStamp,TimeStamp+1,RTConf+1,presented_left,picked_left,Zconf,Zdiff,ZRT,RT_MS,Age,WM,NVR
1,Monolingual,100.5,4.5,13,0.695,5.695747914,4.55,50.365,50.035,0.5129,0.926065,771.9527318,768.118173,0.928356784,0.46,0.515,3.40E-15,-1.06E-16,6.66E-17,5695.747914,23.083,17,12
2,Monolingual,100.5,4.5,13,0.725,3.46421837,2.965,50.1,50.085,0.4877,1.081625,637.6690283,635.2641933,1.084934673,0.49,0.545,5.04E-16,2.96E-16,9.21E-17,3464.21837,22.333,16,12
3,Monolingual,100.5,4.5,13,0.715,2.2948773,4.745,49.53,50.005,0.5721,0.84864,495.1033436,493.4647746,0.84601005,0.555,0.68,-1.34E-16,-9.99E-18,-3.02E-16,2294.8773,20.917,11,9
4,Monolingual,100.5,4.5,13,0.715,3.736112865,3.215,50.03,49.995,0.5312,1.30155,712.7202494,710.172152,1.303914573,0.485,0.44,6.57E-16,1.67E-16,3.33E-17,3736.112865,28.917,16,8
5,Monolingual,100.5,4.5,13,0.725,2.801287233,3.895,49.965,50.25,0.5479,0.836905,579.4975575,577.6229022,0.83881407,0.53,0.585,4.68E-15,1.28E-17,-1.52E-15,2801.287233,20.25,17,7
6,Monolingual,100.5,4.5,13,0.7,2.260100994,3.97,49.895,49.985,0.4795,1.00464,488.1248957,486.5158163,1.00058794,0.525,0.395,4.73E-16,-6.99E-17,-1.62E-16,2260.100994,18.25,23,11
7,Monolingual,100.5,4.5,13,0.7,4.355750452,5.31,49.66,50.08,0.4953,1.51141,868.2034885,865.2634161,1.514035176,0.565,0.535,-2.53E-17,1.24E-15,-4.88E-16,4355.750452,18.917,13,11
8,Monolingual,100.5,4.5,13,0.72,3.077465704,4.015,50.49,49.665,0.5814,1.30123,743.6268318,741.5404715,1.304125628,0.42,0.48,-7.77E-17,3.66E-17,-1.87E-16,3077.465704,19.833,20,8
9,Monolingual,100.5,4.5,13,0.7,2.216056375,8.43,50.945,50.835,0.6119,1.188645,504.5693612,502.8386459,1.189276382,0.49,0.49,1.01E-15,2.41E-16,2.38E-16,2216.056375,19.583,25,10
10,Monolingual,100.5,4.5,13,0.705,2.802779636,4.29,49.78,50.02,0.488,1.051405,660.8410418,658.5442992,1.050864322,0.515,0.49,7.75E-16,-2.43E-16,-3.33E-17,2802.779636,20.083,19,9
11,Monolingual,100.5,4.5,13,0.72,3.102915038,4.845,50.075,50.11,0.4467,1.70489,686.8335768,684.3833026,1.679738693,0.49,0.38,-7.13E-16,-1.78E-16,1.28E-15,3102.915038,20.167,14,9
12,Monolingual,100.5,4.5,13,0.73,3.280239261,3.13,50.24,49.88,0.542,1.048515,736.7882115,733.6868311,1.050120603,0.45,0.4,2.01E-16,-1.05E-16,-3.60E-16,3280.239261,25.083,19,11
13,Monolingual,100.5,4.5,13,0.705,2.05884707,3.66,50.44,50.08,0.5158,0.661655,531.1173882,529.7109602,0.661658291,0.46,0.515,-1.67E-16,-2.39E-16,-5.88E-17,2058.84707,18.75,25,12
14,Monolingual,100.5,4.5,13,0.685,3.4608076,4.47,50.19,49.95,0.6008,0.95997,654.4461651,651.8327483,0.961040201,0.48,0.705,9.40E-16,-5.88E-17,1.07E-15,3460.8076,20.167,19,10
15,Monolingual,100.5,4.5,13,0.705,2.281886029,4.115,50.15,50.165,0.6775,0.969745,522.523466,520.8076748,0.970286432,0.505,0.42,9.08E-16,-5.55E-17,-4.85E-16,2281.886029,20.75,13,9
16,Monolingual,100.5,4.5,13,0.7,3.089756887,4.36,50.11,49.94,0.5525,0.8526,694.4833164,691.9698414,0.854467337,0.485,0.395,-4.65E-16,-8.22E-17,-7.50E-16,3089.756887,20.75,26,9
17,Monolingual,100.5,4.5,13,0.71,3.144406882,4.625,49.835,50.38,0.5557,1.055685,650.144068,647.5359709,1.0569799,0.535,0.345,-1.02E-15,9.10E-17,-5.39E-16,3144.406882,21,21,8
18,Monolingual,100.5,4.5,13,0.695,3.236344814,3.5,49.925,49.915,0.5892,1.975325,915.0975172,912.1995602,1.973859296,0.49,0.525,2.81E-15,4.33E-17,-1.86E-16,3236.344814,21.583,14,10
19,Monolingual,100.5,4.5,13,0.705,2.519149097,5.89,50.57,50.03,0.5573,1.292575,597.3115104,595.3064799,1.292477387,0.465,0.46,2.39E-15,-6.05E-17,4.46E-16,2519.149097,26.833,14,12
20,Monolingual,100.5,4.5,13,0.71,2.02243662,6.615,49.92,49.925,0.4935,1.285535,535.5997841,533.9710959,1.277718593,0.485,0.555,-2.65E-15,-7.74E-17,-1.16E-15,2022.43662,19.667,16,6
21,Monolingual,100.5,4.5,13,0.71,1.99722139,3.93,50.235,50.085,0.5823,1.113,524.6756249,523.0895693,1.116296482,0.475,0.485,-9.50E-16,8.66E-17,-1.22E-15,1997.22139,25.417,14,9
22,Monolingual,100.5,4.5,13,0.695,4.416213928,4.595,49.83,50.175,0.4239,1.130335,797.2473327,794.2220863,1.131457286,0.555,0.38,-9.79E-16,-4.44E-18,1.57E-16,4416.213928,20.5,17,12
