Participant,Block,Confidence,Confidence.RT,Correct,DotDifference,DotNumberLeft,DotNumberRight,RT,RestCounter,RestTime,ValidTrials,Percent_Correct,Group,Mratio,Age,BVAT
1,4.5,0.515656566,0.719671717,0.707070707,6.28358209,50.17412935,50.039801,0.936056573,13.46634615,1.039606599,97.52238806,70.71,Monolingual,1.004564522,19.417,37
2,4.483091787,0.728686869,0.849686869,0.717171717,5.095,49.77,50.475,0.902410491,13.4057971,1.344727251,98.57,71.72,Monolingual,0.878717679,20.583,39
3,4.483091787,0.698469388,1.039571429,0.724489796,4.92,50.51,50.26,0.838133749,13.4057971,0.875106463,97.795,72.45,Monolingual,0.80748399,20.417,30
4,4.483091787,0.531356784,1.258427136,0.713567839,4.405,49.995,50.49,0.813765176,13.4057971,4.624799552,98.8,71.36,Monolingual,0.838792302,20.917,40
5,4.483091787,0.754183673,1.005112245,0.705583756,4.776119403,50.1840796,49.62686567,1.035581107,13.4057971,2.858268089,97.67164179,70.56,Monolingual,1.144141961,22,41
6,4.483091787,0.556262626,0.712520202,0.702020202,3.92,49.99,49.57,0.909628701,13.4057971,0.891793124,98.44,70.2,Monolingual,0.715330794,19.833,42
7,4.483091787,0.596512821,1.504933333,0.702564103,4.605,50.125,49.95,0.959899256,13.4057971,2.974984569,96.965,70.26,Monolingual,1.094758091,20.333,39
8,4.483091787,0.656649746,1.416116751,0.705583756,4.82,49.84,49.91,0.826312018,13.4057971,3.163358939,97.765,70.56,Monolingual,1.105846017,20.667,40
9,4.115942029,0.632356021,0.674115183,0.734375,6.743842365,50.25123153,50.24630542,1.002903535,22.96135266,2.169474168,95.04926108,73.44,Monolingual,0.922367946,20.833,39
10,4.483091787,0.428282828,0.62690404,0.732323232,5.36,50.245,50.155,0.738652754,13.4057971,2.615171524,98.195,73.23,Monolingual,0.418630576,21.583,37
11,4.483091787,0.53877551,1.055127551,0.704081633,4.905,49.65,49.975,1.000548063,13.4057971,7.766126003,97.285,70.41,Monolingual,0.646120595,19.5,46
12,4.483091787,0.78201005,1.270050251,0.72361809,4.75,49.615,49.715,0.872030068,13.4057971,0.734442137,99.11,72.36,Monolingual,0.915717977,19.25,36
13,4.483091787,0.49326087,1.028,0.718918919,4.407960199,50.21393035,50.39303483,1.056182434,13.4057971,4.645903359,89.57711443,71.89,Monolingual,0.606339436,20.667,38
14,4.483091787,0.5378,0.9862,0.71,5.585,50.445,49.74,0.696478491,13.4057971,2.312429581,99.5,71,Monolingual,1.059358077,20.583,42
15,4.483091787,0.491557789,1.270623116,0.743718593,4.875,50.44,50.005,0.955133409,13.4057971,1.411472524,98.715,74.37,Monolingual,0.787619604,21.083,38
